comp70, S1C=CC(C#N)=C1, 7, S1C=CC(C#N)=C%911.[*]%91
comp71, C1C=CC=C2NC=CC=12, 7, C1C=CC=C2NC%91=CC=12.[*]%91
comp72, C1C=CC=C2NC=CC=12, 8, C1C=CC=C2NC=C%91C=12.[*]%91
comp73, C1C=CC=C2SC=CC=12, 7, C1C=CC=C2SC%91=CC=12.[*]%91
comp74, C1C=CC=C2SC=CC=12, 8, C1C=CC=C2SC=C%91C=12.[*]%91
comp75, C1C=CC=C2OC=CC=12, 7, C1C=CC=C2OC%91=CC=12.[*]%91
comp76, C1C=CC=C2OC=CC=12, 8, C1C=CC=C2OC=C%91C=12.[*]%91
comp77, C1C=CC=C2NC(C3=CC=CC=C3)=CC=12, 4, C1C=CC%91=C2NC(C3=CC=CC=C3)=CC=12.[*]%91
comp78, C1C=CC=C2NC=C(C[C@H](NC(=O)OC(C)(C)C)C(=O)OC)C=12 |&1:9,r|, 7, C1C=CC=C2NC%91=C(C[C@H](NC(=O)OC(C)(C)C)C(=O)OC)C=12.[*]%91 |&1:9,r|
comp79, C1C=CC=C2OC(B3OC(C)(C)C(C)(C)O3)=CC=12, 4, C1C=CC%91=C2OC(B3OC(C)(C)C(C)(C)O3)=CC=12.[*]%91 
comp80, C1C=CC=C2OC(B3OC(C)(C)C(C)(C)O3)=CC=12, 3, C1C=C%91C=C2OC(B3OC(C)(C)C(C)(C)O3)=CC=12.[*]%91 
comp81, C1C=CC=C2N(O[Si](C)(C)C)C=C(C)C=12, 3, C1C=C%91C=C2N(O[Si](C)(C)C)C=C(C)C=12.[*]%91
comp82, C1C=CC=C2N(O[Si](C)(C)C)C=C(C)C=12, 2, C1C%91=CC=C2N(O[Si](C)(C)C)C=C(C)C=12.[*]%91
comp83, C1C=CC=C2N(O[Si](C)(C)C)C3C=CC(CC)=CC=3C=12, 3, C1C=C%91C=C2N(O[Si](C)(C)C)C3C=CC(CC)=CC=3C=12.[*]%91
comp84, C1C=CC=C2N(O[Si](C)(C)C)C3C=CC(CC)=CC=3C=12, 2, C1C%91=CC=C2N(O[Si](C)(C)C)C3C=CC(CC)=CC=3C=12.[*]%91
comp85, C1C=CC=C2SC(C3SCCCS3)=CC=12, 14, C1C=CC=C2SC(C3SCCCS3)=C%91C=12.[*]%91
comp86, N1(C(=O)OC(C)C)C2C=CC=CC=2C2C=CC=CC1=2, 9, N1(C(=O)OC(C)C)C2C%91=CC=CC=2C2C=CC=CC1=2.[*]%91
comp87, C1C=CC=C2SC=C([Si]([H])(C)C)C=12, 1, C1%91C=CC=C2SC=C([Si]([H])(C)C)C=12.[*]%91
comp88, C1C=CC=C2N(C(=O)OC(C)(C)C)C=C([Si]([H])(C)C)C=12, 1, C1%91C=CC=C2N(C(=O)OC(C)(C)C)C=C([Si]([H])(C)C)C=12.[*]%91
comp89, C1=CC=NC=C1, 6, C1=CC=NC=C%911.[*]%91
comp90, C1=CC=NC=C1, 1, C1%91=CC=NC=C1.[*]%91
comp91, C1=CC(F)=NC=C1, 1, C1%91=CC(F)=NC=C1.[*]%91
comp92, C1=CC(F)=NC=C1, 2, C1=C%91C(F)=NC=C1.[*]%91
comp93, C1=CC(F)=NC=C1, 7, C1=CC(F)=NC=C%911.[*]%91
comp94, C1=C(Cl)C(Cl)=NC=C1, 8, C1=C(Cl)C(Cl)=NC=C%911.[*]%91
comp95, C1=C(C(=O)OC)C(F)=NC=C1, 11, C1=C(C(=O)OC)C(F)=NC=C%911.[*]%91
comp96, C1=C(C(=O)OC)C(F)=NC=C1, 3, C1C=C%91N=C(F)C=1C(OC)=O.[*]%91
comp97, N1=CC=C(C(F)(F)F)C=C1Cl, 2, N1=C%91C=C(C(F)(F)F)C=C1Cl.[*]%91
comp98, N1=CC=C(C)C=C1C, 3, N1=CC%91=C(C)C=C1C.[*]%91
comp99, N1=CC=C(C)C=C1C, 2, N1=C%91C=C(C)C=C1C.[*]%91
comp100, N1=CC(Br)=CC=C1C#N, 6, N1=CC(Br)=CC%91=C1C#N.[*]%91
comp101, N1=CC(Br)=CC=C1C#N, 5, N1=CC(Br)=C%91C=C1C#N.[*]%91
